Datum;Gericht 1;Gericht 2;Gericht 3;
28.01.2013;Raclette;Pfannkuchen mit Kirschen;Truthahn in Estragonsauce mit Reis
29.01.2013;Bunte Gemuesepfanne;Penne Arrabiata mit Speck;Frittierte Mozzarellakugeln in Gorgonzolasauce
30.01.2013;Penne mit Spinatsauce;Asiatisches Schweinegeschnetzeltes;Chickenburger
31.01.2013;Italienische Gemuesepfanne mit Haehnchen;Gemuesebratling mit Curryreis;Penne mit Pesto Rosso
01.02.2013;Pangasiusfilet mit Kartoffelstampf;Tofu-Reispfanne;Omelette mit Kartoffeln
04.02.2013;Nudelsuppe;Forelle Muellerin Art;Truthahn mit Blumenkohl
05.02.2013;Penne Arrabiata Vegetarisch;Pilzravioli mit Sauce Hollandaise;Moussaka
06.02.2013;Huehner-Nudel-Auflauf;Schweinefilet mit gruenem Pfeffer und Reis;Belgische Pommes Rot-Weiss
07.02.2013;Rouladen mit Rotkohl und Kartoffeln;Safransuppe mit Straussenfilet;Gnocchipfanne
08.02.2013;Chili con carne;Toast Hawaii;Schokoladenfondue
11.02.2013;Seelachs mit Kartoffel-Knusperkruste;Gyros mit Pommes;Kuerbissuppe mit Feta
12.02.2013;Tofugeschnetzeltes Asiatisch;Pizza Hawaii;Spaghetti Bolognese
13.02.2013;Bohneneintopf Mexiko;Haehnchenbrust in Salbeisauce m. Reis;Birnenmilchreis
14.02.2013;Spinat mit Kartoffeln und Ei;Cordon Bleu mit Kartoffeln;Frischer Garnelensalat
15.02.2013;Rindergeschnetzeltes mit Reis;Elcheintopf;Penne mit Pesto Verde
