Datum;Gericht 1;Gericht 2;Gericht 3;
28.01.2013;Asiatisches Schweinegeschnetzeltes;Truthahn in Estragonsauce mit Reis;Belgische Pommes Rot-Weiss
29.01.2013;Gyros mit Pommes;Schokoladenfondue;Penne mit Spinatsauce
30.01.2013;Italienische Gemuesepfanne mit Haehnchen;Birnenmilchreis;Gemuesebratling mit Curryreis
31.01.2013;Pfannkuchen mit Kirschen;Frittierte Mozzarellakugeln in Gorgonzolasauce;Truthahn mit Blumenkohl
01.02.2013;Pangasiusfilet mit Kartoffelstampf;Spinat mit Kartoffeln und Ei;Pizza Hawaii
04.02.2013;Toast Hawaii;Penne Arrabiata mit Speck;Omelette mit Kartoffeln
05.02.2013;Forelle Muellerin Art;Frischer Garnelensalat;Moussaka
06.02.2013;Safransuppe mit Straussenfilet;Huehner-Nudel-Auflauf;Penne mit Pesto Rosso
07.02.2013;Chickenburger;Elcheintopf;Gnocchipfanne
08.02.2013;Penne Arrabiata Vegetarisch;Kuerbissuppe mit Feta;Spaghetti Bolognese
11.02.2013;Bohneneintopf Mexiko;Seelachs mit Kartoffel-Knusperkruste;Chili con carne
12.02.2013;Raclette;Tofugeschnetzeltes Asiatisch;Rindergeschnetzeltes mit Reis
13.02.2013;Tofu-Reispfanne;Pilzravioli mit Sauce Hollandaise;Cordon Bleu mit Kartoffeln
14.02.2013;Rouladen mit Rotkohl und Kartoffeln;Haehnchenbrust in Salbeisauce m. Reis;Penne mit Pesto Verde
15.02.2013;Nudelsuppe;Bunte Gemuesepfanne;Schweinefilet mit gruenem Pfeffer und Reis
