"Grosshandel","Metri AG",1,,,
1000,"g","Analogkaese",,"2,64",1000
1000,"g","Apfelmus",,"2,74",1000
1000,"g","Auberginen",,"3,41",1000
1000,"g","Backpulver",,"6,73",1000
10,,"Banane",,"6,06",1000
1000,"g","Barbecuesauce",,"4,79",1000
1000,"g","Basilikum",,"6,06",1000
1000,"g","Basmatireis",,"3,74",1000
1,"l","Belgisches Kirschbier",,"5,4",1000
1000,"g","Birnen",,"5,25",1000
1000,"g","Blaetterteig",,"6,8",1000
1000,"g","Blumenkohl",,"3,36",1000
1000,"g","Bratwurst","m","5,15",1000
1000,"g","Broccoli",,"3,76",1000
1000,"g","Bulgur",,"2,72",1000
10,,"Burgerbroetchen",,"5,91",1000
1000,"g","Butter",,"3,3",1000
1000,"g","Buttergemuese TK",,"5,02",1000
10,,"Camembert",,"12,98",1000
1000,"g","Cannelloni",,"1,85",1000
1000,"g","Chilipulver",,"7,86",1000
1,"l","Cocktailsauce",,"4,6",1000
10,,"Convenience Knoedel",,"5,03",1000
10,,"Convenience Maultaschen",,"5,4",1000
10,,"Cordon Bleu TK","m","11,78",1000
1000,"g","Creme Fraiche mit Kraeutern",,"4,53",1000
1000,"g","Currypulver",,"9,07",1000
1000,"g","Currywurst","m","5,35",1000
1000,"g","Dill",,"6,6",1000
1000,"g","Dosenananas",,"6,71",1000
1000,"g","Dosenchampignons 3. Wahl",,"1,95",1000
1000,"g","Dosenmais",,"3,06",1000
1000,"g","Dosenthunfisch","f","9,01",1000
10,,"Ei",,"0,97",1000
1000,"g","Eingelegter gruener Pfeffer",,"10,6",1000
1000,"g","Eiweissrohmasse",,"1,95",1000
1000,"g","Emmentaler",,"5,13",1000
1000,"g","Erbsen",,"4,81",1000
1000,"g","Erdbeeren",,"5,69",1000
1000,"g","Essig",,"1,28",1000
1000,"g","Estragon",,"8,37",1000
1000,"g","Feta",,"5,32",1000
1000,"g","Fischreste gepresst","f","5,92",1000
1000,"g","Fleischbruehe","m","8,77",1000
1000,"g","Forelle","f","14,62",1000
1000,"g","Garnelenaroma",,"4,67",1000
10,,"Gemuesebratling",,"9,06",1000
1000,"g","Gemuesebruehe",,"5,83",1000
1000,"g","Gnocchi",,"4,03",1000
