Lieferant;Zutat;Menge;Einheit;Menge & Einheit
Metzgerfachhandel Schneider;Hackfleisch halb und halb;55000;Gramm;55000 Gramm;
Metzgerfachhandel Schneider;Speck;40000;Gramm;40000 Gramm;
Metzgerfachhandel Schneider;Rinderhack;67000;Gramm;67000 Gramm;
Metzgerfachhandel Schneider;Elchfleisch;76000;Gramm;76000 Gramm;
Metzgerfachhandel Schneider;Cordon Bleu TK;310;Stueck;310 Stueck;
Metzgerfachhandel Schneider;Gyrosfleisch Vorgewuerzt;46000;Gramm;46000 Gramm;
Metzgerfachhandel Schneider;Rindfleisch;46000;Gramm;46000 Gramm;
Metzgerfachhandel Schneider;Rindersalami;20000;Gramm;20000 Gramm;

Biohof Maier - direkt an der A40;Karotten;106000;Gramm;106000 Gramm;
Biohof Maier - direkt an der A40;Kopfsalat;40000;Gramm;40000 Gramm;

Carrefar S.A.;Thymian;8000;Gramm;8000 Gramm;
Carrefar S.A.;Hollandaise;49000;Gramm;49000 Gramm;
Carrefar S.A.;Gouda;21000;Gramm;21000 Gramm;
Carrefar S.A.;Rundkornreis;52000;Gramm;52000 Gramm;
Carrefar S.A.;Erbsen;16000;Gramm;16000 Gramm;
Carrefar S.A.;Semmelbroesel;9000;Gramm;9000 Gramm;
Carrefar S.A.;Kartoffeln;700000;Gramm;700000 Gramm;
Carrefar S.A.;Wildlachs;98000;Gramm;98000 Gramm;
Carrefar S.A.;Essig;25000;Gramm;25000 Gramm;
Carrefar S.A.;Remoulade;5000;Gramm;5000 Gramm;
Carrefar S.A.;Gorgonzola;31000;Gramm;31000 Gramm;
Carrefar S.A.;Kreuzkuemmel;5000;Gramm;5000 Gramm;
Carrefar S.A.;Sellerie;30000;Gramm;30000 Gramm;
Carrefar S.A.;Auberginen;55000;Gramm;55000 Gramm;
Carrefar S.A.;Gnocchi;55000;Gramm;55000 Gramm;
Carrefar S.A.;Estragon;2000;Gramm;2000 Gramm;
Carrefar S.A.;Grundsauce Hell;4000;Gramm;4000 Gramm;
Carrefar S.A.;Zucker;61000;Gramm;61000 Gramm;
Carrefar S.A.;Knoblauchpulver;36000;Gramm;36000 Gramm;
Carrefar S.A.;Zimt;5000;Gramm;5000 Gramm;
Carrefar S.A.;Zitrone;580;Stueck;580 Stueck;
Carrefar S.A.;Mozzarellakugeln;46000;Gramm;46000 Gramm;
Carrefar S.A.;Mononatriumglutamat;28000;Gramm;28000 Gramm;
Carrefar S.A.;Lauch;61000;Gramm;61000 Gramm;
Carrefar S.A.;Chilipulver;37000;Gramm;37000 Gramm;
Carrefar S.A.;Blumenkohl;46000;Gramm;46000 Gramm;
Carrefar S.A.;Kurkuma;15000;Gramm;15000 Gramm;
Carrefar S.A.;Dosenananas;105000;Gramm;105000 Gramm;
Carrefar S.A.;Pilzravioli Convenience;74000;Gramm;74000 Gramm;
Carrefar S.A.;Vanillinzucker;26000;Gramm;26000 Gramm;
Carrefar S.A.;Gemuesebruehe;37000;Gramm;37000 Gramm;
Carrefar S.A.;Backpulver;15000;Gramm;15000 Gramm;
Carrefar S.A.;Currypulver;26000;Gramm;26000 Gramm;

Metri AG;Lorbeerblatt;310;Stueck;310 Stueck;
Metri AG;Feta;51000;Gramm;51000 Gramm;
Metri AG;Mayonnaise;10000;Gramm;10000 Gramm;
Metri AG;Mascarpone;7000;Gramm;7000 Gramm;
Metri AG;Raclettekaese;132000;Gramm;132000 Gramm;
Metri AG;Burgerbroetchen;490;Stueck;490 Stueck;
Metri AG;Basilikum;13000;Gramm;13000 Gramm;
Metri AG;Sahne;241000;Gramm;241000 Gramm;
Metri AG;Pangasius;98000;Gramm;98000 Gramm;
Metri AG;Reis;235000;Gramm;235000 Gramm;
Metri AG;Muskat;11000;Gramm;11000 Gramm;
Metri AG;Rotwein;31;Liter;31 Liter;
Metri AG;Tomaten;5360;Stueck;5360 Stueck;
Metri AG;Olivenoel;17000;Gramm;17000 Gramm;
Metri AG;Kugelfisch-Muskelfleisch;98000;Gramm;98000 Gramm;
Metri AG;MensaFix fuer braune Pampe;25000;Gramm;25000 Gramm;
Metri AG;Ei;4210;Stueck;4210 Stueck;
Metri AG;Rinderroulade;830;Stueck;830 Stueck;
Metri AG;Emmentaler;22000;Gramm;22000 Gramm;
Metri AG;Pfeffer;38000;Gramm;38000 Gramm;
Metri AG;Haehnchenbrustfilet;267000;Gramm;267000 Gramm;
Metri AG;Vollmilchschokolade;98000;Gramm;98000 Gramm;
Metri AG;Passierte Tomaten;61000;Gramm;61000 Gramm;
Metri AG;Penne;249000;Gramm;249000 Gramm;
Metri AG;Tomatenmark;3000;Gramm;3000 Gramm;
Metri AG;Dill;17000;Gramm;17000 Gramm;
Metri AG;Lebensmittelfarbe rot;31;Liter;31 Liter;
Metri AG;Zwiebel;3200;Stueck;3200 Stueck;
Metri AG;Schnittlauch;13000;Gramm;13000 Gramm;
Metri AG;Italienische Gewuerzmischung;2000;Gramm;2000 Gramm;
Metri AG;Eiweissrohmasse;76000;Gramm;76000 Gramm;
Metri AG;Pesto Rosso;16000;Gramm;16000 Gramm;
Metri AG;Hokkaido-Kuerbis;34000;Gramm;34000 Gramm;
Metri AG;Sojasprossen;32000;Gramm;32000 Gramm;
Metri AG;Salbei;5000;Gramm;5000 Gramm;
Metri AG;Petersilie;18000;Gramm;18000 Gramm;
Metri AG;Basmatireis;160000;Gramm;160000 Gramm;
Metri AG;Zucchini;153000;Gramm;153000 Gramm;
Metri AG;Pflanzenoel;132000;Gramm;132000 Gramm;
Metri AG;Kidneybohnen;102000;Gramm;102000 Gramm;
Metri AG;Weissweinverschnitt;151;Liter;151 Liter;
Metri AG;Grundsauce Dunkel;7000;Gramm;7000 Gramm;
Metri AG;Scheiblettenkaese;61000;Gramm;61000 Gramm;
Metri AG;Pizzateig vorgebacken;310;Stueck;310 Stueck;
Metri AG;Joghurt;16000;Gramm;16000 Gramm;
Metri AG;Ketchup;38000;Gramm;38000 Gramm;
Metri AG;Spaghetti;38000;Gramm;38000 Gramm;
Metri AG;Spinat;83000;Gramm;83000 Gramm;
Metri AG;Milch;441;Liter;441 Liter;
Metri AG;Paprika;1940;Stueck;1940 Stueck;
Metri AG;Buttergemuese TK;31000;Gramm;31000 Gramm;
Metri AG;Birnen;194000;Gramm;194000 Gramm;
Metri AG;Kokosmilch;237;Liter;237 Liter;
Metri AG;Broccoli;42000;Gramm;42000 Gramm;
Metri AG;Salami;19000;Gramm;19000 Gramm;
Metri AG;Cocktailsauce;31;Liter;31 Liter;
Metri AG;Dosenmais;72000;Gramm;72000 Gramm;
Metri AG;Oregano;14000;Gramm;14000 Gramm;
Metri AG;Halbbitterschokolade;98000;Gramm;98000 Gramm;
Metri AG;Ringli;62000;Gramm;62000 Gramm;
Metri AG;Rotkohl;62000;Gramm;62000 Gramm;
Metri AG;Toastbrot;117000;Gramm;117000 Gramm;
Metri AG;Fischreste gepresst;29000;Gramm;29000 Gramm;
Metri AG;Banane;490;Stueck;490 Stueck;
Metri AG;Analogkaese;31000;Gramm;31000 Gramm;
Metri AG;Seelachs;120000;Gramm;120000 Gramm;
Metri AG;Zaziki;31000;Gramm;31000 Gramm;
Metri AG;Kochschinken;72000;Gramm;72000 Gramm;
Metri AG;Gemuesebratling;420;Stueck;420 Stueck;
Metri AG;Salz;64000;Gramm;64000 Gramm;
Metri AG;Pesto Verde;16000;Gramm;16000 Gramm;
Metri AG;Ingwer;6000;Gramm;6000 Gramm;
Metri AG;Mehl;132000;Gramm;132000 Gramm;
Metri AG;Pommes Frites TK;71000;Gramm;71000 Gramm;
Metri AG;Garnelenaroma;2000;Gramm;2000 Gramm;
Metri AG;Truthahnfilet;106000;Gramm;106000 Gramm;
Metri AG;Raeuchertofu;122000;Gramm;122000 Gramm;
Metri AG;Kirschen;169000;Gramm;169000 Gramm;
Metri AG;Butter;125000;Gramm;125000 Gramm;
Metri AG;Schweinefilet;46000;Gramm;46000 Gramm;
Metri AG;Forelle;104000;Gramm;104000 Gramm;
Metri AG;Erdbeeren;49000;Gramm;49000 Gramm;
Metri AG;Parmesan;14000;Gramm;14000 Gramm;

