Datum;Gericht 1;Gericht 2;Gericht 3;
28.01.2013;Raclette;Bunte Gemuesepfanne;Gyros mit Pommes
29.01.2013;Tofugeschnetzeltes Asiatisch;Moussaka;Chickenburger
30.01.2013;Birnenmilchreis;Schokoladenfondue;Rindergeschnetzeltes mit Reis
31.01.2013;Pangasiusfilet mit Kartoffelstampf;Pfannkuchen mit Kirschen;Toast Hawaii
01.02.2013;Penne Arrabiata Vegetarisch;Penne mit Spinatsauce;Huehner-Nudel-Auflauf
04.02.2013;Asiatisches Schweinegeschnetzeltes;Belgische Pommes Rot-Weiss;Gnocchi mit Tomatensauce
05.02.2013;Spinat mit Kartoffeln und Ei;Spaghetti Bolognese;Truthahn in Estragonsauce mit Reis
06.02.2013;Chili con carne;Gemuesebratling mit Curryreis;Frittierte Mozzarellakugeln in Gorgonzolasauce
07.02.2013;Seelachs mit Kartoffel-Knusperkruste;Cordon Bleu mit Kartoffeln;Penne mit Pesto Rosso
08.02.2013;Bohneneintopf Mexiko;Rouladen mit Rotkohl und Kartoffeln;Pizza Hawaii
11.02.2013;Nudelsuppe;Tofu-Reispfanne;Haehnchenbrust in Salbeisauce m. Reis
12.02.2013;Penne Arrabiata mit Speck;Gnocchipfanne;Penne mit Pesto Verde
13.02.2013;Pilzravioli mit Sauce Hollandaise;Italienische Gemuesepfanne mit Haehnchen;Omelette mit Kartoffeln
14.02.2013;Safransuppe mit Straussenfilet;Forelle Muellerin Art;Kuerbissuppe mit Feta
15.02.2013;Frischer Garnelensalat;Schweinefilet mit gruenem Pfeffer und Reis;Elcheintopf
