Datum;Gericht 1;Gericht 2;Gericht 3;
28.01.2013;Pilzravioli mit Sauce Hollandaise;Elcheintopf;Gnocchipfanne
29.01.2013;Penne Arrabiata Vegetarisch;Tofugeschnetzeltes Asiatisch;Cordon Bleu mit Kartoffeln
30.01.2013;Pangasiusfilet mit Kartoffelstampf;Birnenmilchreis;Moussaka
31.01.2013;Spinat mit Kartoffeln und Ei;Tofu-Reispfanne;Chili con carne
01.02.2013;Bohneneintopf Mexiko;Gemuesebratling mit Curryreis;Rindergeschnetzeltes mit Reis
04.02.2013;Seelachs mit Kartoffel-Knusperkruste;Pizza Hawaii;Penne mit Spinatsauce
05.02.2013;Pfannkuchen mit Kirschen;Bunte Gemuesepfanne;Huehner-Nudel-Auflauf
06.02.2013;Toast Hawaii;Omelette mit Kartoffeln;Spaghetti Bolognese
07.02.2013;Raclette;Gyros mit Pommes;Kuerbissuppe mit Feta
08.02.2013;Schokoladenfondue;Asiatisches Schweinegeschnetzeltes;Gnocchi mit Tomatensauce
11.02.2013;Nudelsuppe;Frittierte Mozzarellakugeln in Gorgonzolasauce;Schweinefilet mit gruenem Pfeffer und Reis
12.02.2013;Penne Arrabiata mit Speck;Truthahn in Estragonsauce mit Reis;Penne mit Pesto Verde
13.02.2013;Rouladen mit Rotkohl und Kartoffeln;Forelle Muellerin Art;Penne mit Pesto Rosso
14.02.2013;Italienische Gemuesepfanne mit Haehnchen;Chickenburger;Belgische Pommes Rot-Weiss
15.02.2013;Safransuppe mit Straussenfilet;Haehnchenbrust in Salbeisauce m. Reis;Frischer Garnelensalat
