Lieferant;Zutat;Menge;Einheit;Menge & Einheit
Biohof Maier - direkt an der A40;Kopfsalat;31000;Gramm;31000 Gramm;

Metri AG;Penne;263000;Gramm;263000 Gramm;
Metri AG;Vollmilchschokolade;98000;Gramm;98000 Gramm;
Metri AG;Mayonnaise;16000;Gramm;16000 Gramm;
Metri AG;Emmentaler;22000;Gramm;22000 Gramm;
Metri AG;Erdbeeren;49000;Gramm;49000 Gramm;
Metri AG;Broccoli;31000;Gramm;31000 Gramm;
Metri AG;Parmesan;14000;Gramm;14000 Gramm;
Metri AG;Pangasius;98000;Gramm;98000 Gramm;
Metri AG;Ringli;53000;Gramm;53000 Gramm;
Metri AG;Rotkohl;90000;Gramm;90000 Gramm;
Metri AG;Tomatenmark;2000;Gramm;2000 Gramm;
Metri AG;Zaziki;31000;Gramm;31000 Gramm;
Metri AG;Lorbeerblatt;600;Stueck;600 Stueck;
Metri AG;Reis;211000;Gramm;211000 Gramm;
Metri AG;Spinat;120000;Gramm;120000 Gramm;
Metri AG;Pflanzenoel;143000;Gramm;143000 Gramm;
Metri AG;Sojasprossen;37000;Gramm;37000 Gramm;
Metri AG;Basilikum;13000;Gramm;13000 Gramm;
Metri AG;Tomaten;5000;Stueck;5000 Stueck;
Metri AG;Cocktailsauce;31;Liter;31 Liter;
Metri AG;Rinderroulade;1200;Stueck;1200 Stueck;
Metri AG;Olivenoel;16000;Gramm;16000 Gramm;
Metri AG;Banane;490;Stueck;490 Stueck;
Metri AG;Ei;4210;Stueck;4210 Stueck;
Metri AG;Garnelenaroma;2000;Gramm;2000 Gramm;
Metri AG;Buttergemuese TK;31000;Gramm;31000 Gramm;
Metri AG;Schweinefilet;46000;Gramm;46000 Gramm;
Metri AG;Burgerbroetchen;310;Stueck;310 Stueck;
Metri AG;Paprika;2080;Stueck;2080 Stueck;
Metri AG;Zwiebel;3240;Stueck;3240 Stueck;
Metri AG;Pfeffer;37000;Gramm;37000 Gramm;
Metri AG;Kochschinken;72000;Gramm;72000 Gramm;
Metri AG;Gouda;31000;Gramm;31000 Gramm;
Metri AG;Salbei;4000;Gramm;4000 Gramm;
Metri AG;Mascarpone;7000;Gramm;7000 Gramm;
Metri AG;Halbbitterschokolade;98000;Gramm;98000 Gramm;
Metri AG;Passierte Tomaten;61000;Gramm;61000 Gramm;
Metri AG;Muskat;13000;Gramm;13000 Gramm;
Metri AG;MensaFix fuer braune Pampe;25000;Gramm;25000 Gramm;
Metri AG;Grundsauce Dunkel;9000;Gramm;9000 Gramm;
Metri AG;Spaghetti;38000;Gramm;38000 Gramm;
Metri AG;Seelachs;120000;Gramm;120000 Gramm;
Metri AG;Hokkaido-Kuerbis;91000;Gramm;91000 Gramm;
Metri AG;Feta;64000;Gramm;64000 Gramm;
Metri AG;Gemuesebratling;310;Stueck;310 Stueck;
Metri AG;Scheiblettenkaese;53000;Gramm;53000 Gramm;
Metri AG;Pizzateig vorgebacken;310;Stueck;310 Stueck;
Metri AG;Forelle;104000;Gramm;104000 Gramm;
Metri AG;Karotten;136000;Gramm;136000 Gramm;
Metri AG;Sahne;230000;Gramm;230000 Gramm;
Metri AG;Raclettekaese;132000;Gramm;132000 Gramm;
Metri AG;Basmatireis;166000;Gramm;166000 Gramm;
Metri AG;Mehl;150000;Gramm;150000 Gramm;
Metri AG;Joghurt;30000;Gramm;30000 Gramm;
Metri AG;Kokosmilch;267;Liter;267 Liter;
Metri AG;Zucchini;141000;Gramm;141000 Gramm;
Metri AG;Kugelfisch-Muskelfleisch;98000;Gramm;98000 Gramm;
Metri AG;Dill;17000;Gramm;17000 Gramm;
Metri AG;Toastbrot;125000;Gramm;125000 Gramm;
Metri AG;Weissweinverschnitt;151;Liter;151 Liter;
Metri AG;Analogkaese;31000;Gramm;31000 Gramm;
Metri AG;Kirschen;169000;Gramm;169000 Gramm;
Metri AG;Eiweissrohmasse;76000;Gramm;76000 Gramm;
Metri AG;Ketchup;49000;Gramm;49000 Gramm;
Metri AG;Lebensmittelfarbe rot;31;Liter;31 Liter;
Metri AG;Salz;64000;Gramm;64000 Gramm;
Metri AG;Birnen;155000;Gramm;155000 Gramm;
Metri AG;Oregano;13000;Gramm;13000 Gramm;
Metri AG;Ingwer;7000;Gramm;7000 Gramm;
Metri AG;Raeuchertofu;132000;Gramm;132000 Gramm;
Metri AG;Auberginen;108000;Gramm;108000 Gramm;
Metri AG;Salami;12000;Gramm;12000 Gramm;
Metri AG;Rotwein;31;Liter;31 Liter;
Metri AG;Schnittlauch;13000;Gramm;13000 Gramm;
Metri AG;Butter;127000;Gramm;127000 Gramm;
Metri AG;Pesto Rosso;25000;Gramm;25000 Gramm;
Metri AG;Petersilie;16000;Gramm;16000 Gramm;
Metri AG;Milch;390;Liter;390 Liter;
Metri AG;Italienische Gewuerzmischung;2000;Gramm;2000 Gramm;
Metri AG;Pesto Verde;16000;Gramm;16000 Gramm;
Metri AG;Pommes Frites TK;87000;Gramm;87000 Gramm;
Metri AG;Kidneybohnen;91000;Gramm;91000 Gramm;

Naturschlachterei Hackebeil;Rindfleisch;46000;Gramm;46000 Gramm;
Naturschlachterei Hackebeil;Haehnchenbrustfilet;219000;Gramm;219000 Gramm;
Naturschlachterei Hackebeil;Truthahnfilet;106000;Gramm;106000 Gramm;

Metzgerfachhandel Schneider;Elchfleisch;76000;Gramm;76000 Gramm;
Metzgerfachhandel Schneider;Gyrosfleisch Vorgewuerzt;46000;Gramm;46000 Gramm;
Metzgerfachhandel Schneider;Rindersalami;17000;Gramm;17000 Gramm;
Metzgerfachhandel Schneider;Rinderhack;49000;Gramm;49000 Gramm;
Metzgerfachhandel Schneider;Hackfleisch halb und halb;85000;Gramm;85000 Gramm;
Metzgerfachhandel Schneider;Speck;36000;Gramm;36000 Gramm;
Metzgerfachhandel Schneider;Cordon Bleu TK;310;Stueck;310 Stueck;

Carrefar S.A.;Essig;30000;Gramm;30000 Gramm;
Carrefar S.A.;Rundkornreis;38000;Gramm;38000 Gramm;
Carrefar S.A.;Erbsen;16000;Gramm;16000 Gramm;
Carrefar S.A.;Kreuzkuemmel;5000;Gramm;5000 Gramm;
Carrefar S.A.;Lauch;63000;Gramm;63000 Gramm;
Carrefar S.A.;Vanillinzucker;23000;Gramm;23000 Gramm;
Carrefar S.A.;Dosenmais;61000;Gramm;61000 Gramm;
Carrefar S.A.;Kartoffeln;800000;Gramm;800000 Gramm;
