Datum;Gericht 1;Gericht 2;Gericht 3;
04.02.2013;Omelette mit Kartoffeln;Moussaka;Rindergeschnetzeltes mit Reis
05.02.2013;Haehnchenbrust in Salbeisauce m. Reis;Bunte Gemuesepfanne;Gnocchipfanne
06.02.2013;Huehner-Nudel-Auflauf;Chickenburger;Belgische Pommes Rot-Weiss
07.02.2013;Bohneneintopf Mexiko;Pilzravioli mit Sauce Hollandaise;Truthahn mit Blumenkohl
08.02.2013;Rouladen mit Rotkohl und Kartoffeln;Pangasiusfilet mit Kartoffelstampf;Frittierte Mozzarellakugeln in Gorgonzolasauce
11.02.2013;Penne Arrabiata Vegetarisch;Nudelsuppe;Asiatisches Schweinegeschnetzeltes
12.02.2013;Birnenmilchreis;Penne Arrabiata mit Speck;Spaghetti Bolognese
13.02.2013;Seelachs mit Kartoffel-Knusperkruste;Tofu-Reispfanne;Tofugeschnetzeltes Asiatisch
14.02.2013;Raclette;Kugelfisch-Pfanne;Cordon Bleu mit Kartoffeln
15.02.2013;Gemuesebratling mit Curryreis;Penne mit Spinatsauce;Elcheintopf
18.02.2013;Pfannkuchen mit Kirschen;Schokoladenfondue;Truthahn in Estragonsauce mit Reis
19.02.2013;Toast Hawaii;Lachs Suess-Sauer;Penne mit Pesto Rosso
20.02.2013;Chili con carne;Frischer Garnelensalat;Penne mit Pesto Verde
21.02.2013;Forelle Muellerin Art;Gyros mit Pommes;Kuerbissuppe mit Feta
22.02.2013;Spinat mit Kartoffeln und Ei;Italienische Gemuesepfanne mit Haehnchen;Pizza Hawaii
